idcobrarpagardoc,FECHA_FACTEX,FACT_EXPORT,idclieprov,CLIENTE_EXT,VARIEDAD,VARIEDAD2,PtoDestino,NRO_CONTENEDOR,CANTIDAD_KG,PP_FACTURA,sub_total,PRIMER_ADELANTO,SEGUNDO_ADELANTO,LIQUIDACION,PP_VENTA,PP_FOB,PP_CAMPO,PRI_ADEL,SEG_ADEL,LIQ_ADEL,PAIS,CONTINENTE,COSTO_FOB,EST_LIQ,COSTO_CAMPO,fecha,ADELANTO,NDEBITO,KG_LIQ,MONTO_LIQ,POR_L,div_cont,div_cont_liq
_6BH11GYB537112,2022-04-22 00:00:00,INV-FE01-0000893,EXP00000003,SEALD SWEET INTERNATIONAL,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-425148-2,21306.0,1.1,23436.6,12716.0,,17495.72,2.12973,1.4179911761944,0.948231,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.7117389467755,SI,0.469759,2022-04-22 00:00:00,23436.6,6775.116246,21306.0,30211.72,MNBU-425148-2,1.0,1.0
_6AT12VDJA37112,2022-03-31 18:08:09,INV-FE01-0000862,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-431556-6,6860.0,1.1,7546.0,4700.0,,2369.14,2.069774,0.501451931716,0.033765,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0807650494159,SI,0.467686,2022-03-31 18:08:09,7546.0,6.05738,6860.0,3439.960251,MNBU-431556-6,0.308176100628,0.308176100628
_6AX11YBIB55387,2022-04-03 17:42:27,INV-FE01-0000866,EXP00000002,ORIGIN FRUIT DIRECT BV,SATSUMA,SATSUMA OKITSU,ROTTERDAM - EUROPA,MNBU-363185-2,22880.0,0.9,20592.0,,,9174.24,0.862604,0.400972027972,0.087289,NO,NO,SI,PAISES BAJOS,EUROPA,0.4616324300699,NO,0.313682,2022-04-03 17:42:27,20592.0,0.0,0.0,0.0,0,1.0,0.0
_6B00PRIU037112,2022-04-07 00:00:00,INV-FE01-0000871,EXP00000003,SEALD SWEET INTERNATIONAL,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-040201-9,23040.0,1.099992,25343.83,7200.0,,23488.72,1.99125,1.3319756944444,0.867344,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.6592743055555,SI,0.464631,2022-04-07 00:00:00,25343.81568,5344.704,23040.0,30688.72,MNBU-040201-9,1.0,1.0
_6B311S5L555387,2022-04-08 00:00:00,INV-FE01-0000872,EXP00000025,WONDERFUL CITRUS PACKING  LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SZLU-930399-4,23040.0,1.1,25344.0,11520.0,,26783.77,2.894421,1.6624900173611,1.200424,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.2319318576388,NO,0.462065,2022-04-08 00:00:00,25344.0,12959.7696,0.0,0.0,0,1.0,0.0
_6B311S5L555387,2022-04-08 00:00:00,INV-FE01-0000872,EXP00000025,WONDERFUL CITRUS PACKING  LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SZLU-930399-4,23040.0,1.1,25344.0,11520.0,,26783.77,2.894421,1.6624900173611,1.20591,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.2319318576388,SI,0.456579,2022-04-08 00:00:00,25344.0,12959.7696,23040.0,38303.77,SZLU-930399-4,1.0,1.0
_6B3127Q1N55387,2022-04-09 00:00:00,INV-FE01-0000874,EXP00000025,WONDERFUL CITRUS PACKING  LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,BMOU-930534-2,23040.0,1.1,25344.0,11520.0,,23270.07,2.741917,1.5099856770833,1.053405,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.2319314236111,SI,0.456579,2022-04-09 00:00:00,25344.0,9446.0544,23040.0,34790.07,BMOU-930534-2,1.0,1.0
_6B312GNRL55387,2022-04-09 17:56:42,INV-FE01-0000875,EXP00000012,"ESU FARM, LLC",PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,TEMU-924904-7,22208.0,1.1,24428.8,12214.4,,12287.18,1.981087,1.1032771974063,0.627628,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.8778106988472,NO,0.475648,2022-04-09 17:56:42,24428.8,1032.516544,0.0,0.0,0,1.0,0.0
_6B517BYOU37112,2022-04-11 00:00:00,INV-FE01-0000876,EXT0000050 ,CLASSIC HARVEST LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,HLBU-953874-8,23040.0,1.1,25344.0,14400.0,,11695.12,2.177552,1.1326006944444,0.659831,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0449513888888,SI,0.472769,2022-04-11 00:00:00,25344.0,751.104,23040.0,26095.12,HLBU-953874-8,1.0,1.0
_6BA0ZETGY37112,2022-04-16 00:00:00,INV-FE01-0000883,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,SATSUMA,SATSUMA OKITSU,PHILADELPHIA - USA,SEGU-973409-3,2252.0,1.1,2477.2,1462.5,,1186.4,2.486745,0.8200443709761,0.364034,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0237262919784,SI,0.45601,2022-04-16 00:00:00,1722.921876,123.81496,2252.0,1846.739923,SEGU-973409-3,0.097964155211,0.097964155211
