Fecha,PATRIMONIO,RESULTEX,ACTIVO_T,PASIVO_T,PATRIMONIO_T,Activo Biológico,Capital Social,Cuentas por Cobrar Comerciales,Cuentas por Cobrar a Relacionadas,Cuentas por Pagar Comerciales,Cuentas por Pagar a Relacionadas,Efectivo y Equivalente de Efectivo,Existencias,Gastos Pagados por Anticipado y Otros Activos,Impuestos por Recuperar,"Inmueble, Maquinaria y Equipo, Neto",Instrumento Financiero Derivados,Instrumentos Financieros Derivados,Inversiónes Mobiliarias,Obligaciones Financieras,Otras Cuenta por Cobrar Largo Plazo,Otras Cuentas por Pagar,Otras Cuentas por Pagar Largo Plazo,Parte Corriente de Activo Biológico,Pasivo por Impuesto a la Renta Diferido,Porcion Corriente de Obligaciones Financieras,Reserva Legal,Resultados Acumulados,Sobregiros Bancarios,ACTIVO_CORR,ACTIVO_NCORR,PASIVO_CORR,PASIVO_NCORR,CxC,INVENTARIOS,CxP,CAPEX,ACT_FIJ,CASH,DEUDA_TOT,Cambios en el Valor Razonable de Activos Biológicos,Costo de Venta - NIC 41,Costo de Ventas,Depr. De Gastos de Administración,Depr. De Gastos de Venta,"Diferencia de Cambio, Neta",Gastos Financieros,Gastos de Administración,Gastos de Venta,Impuesto a la Renta Corriente,Impuesto a la Renta Diferido,Ingresos Financieros,"Instrumentos Financieros, Netos",Otros Gastos,Otros Gastos - NIC 41,Otros Ingresos,Restitución de Derechos Arancelarios,Ventas,uti_bruta,EBIT,EBITDA,EBT,Utilidad Neta,costo_venta,Ratio de Liquidez,Ratio Rápido,Ratio de Cash,Deuda/Activos,Deuda/Patrimonio,Apalancamiento,Cobertura de Intereses,Margen Ebitda,ROA,ROE,rotacion_trabajo,rotacion_fijos,Rotación de Activos,rotacion_inventarios,rotacion_cxp,dias_inventario,dias_cxp,mg_bruto,Margen Neto,mg_operativo,carga_impositiva,carga_intereses,ventas12M,Var 12M Util. Neta,Var 12M de Ebitda
1-Nov-18,226274191.8,-3039227.77,431967430.5,208732466.5,223234964,85814321.58,69449428.39,38576490.88,4160099.76,28443449.07,740708.39,4633870.04,19165788.61,9718001.18,0,134093318,1286302.28,75696.13,89718817.53,145252486.9,372742.13,-7300513.46,16753792.74,45638284.66,11625472.94,11832268.97,34978930.77,121845832.6,98498.64,121968231.3,309999199.3,35100713.89,173631752.6,42736590.64,64804073.27,21883644,86867517.37,309626457.1,4633870.04,157183254.5,0,-4535085.65,-68613806.56,-473500.72,-23766.7,-4634219.74,-2072521.46,-12822662.52,-12781134.76,0,0,35762.46,328114.45,-1956173.94,-4850441.73,2587623.62,1679361.67,105093223.8,33623693.26,3303636.51,3800903.93,-3039227.78,-3039227.78,-73148892.21,3.47480771,1.628575367,0.132016404,36.39 %,0.704115752,1.935034829,1.594017999,3.62 %,,,,,,,,,,31.99 %,-2.89 %,3.14 %,1,-0.91996434,,,
1-Dic-18,207569218.6,3.78489E-06,429225235.1,221656016.5,207569218.6,73482227.54,69449428.39,55661524.47,4284388.39,29810054.82,398343.68,6698990.88,24445936.43,9369945.54,0,135346502.7,1272188.75,75404.65,89718817.53,115994403.7,381442.44,-9067097.24,16772363.74,29760054.49,11625472.94,54280229.21,34978930.77,103140859.5,570056.87,130296244.9,298928990.2,77263776.09,144392240.4,59945912.86,54205990.92,21141301.26,53032468.76,298547547.8,6698990.88,170844689.8,0,-4825138.82,-90857742.47,-516306.25,-25961.95,-5021808.33,-7148566.01,-14533379.28,-18273991.24,-643206,0,42236.11,427608.43,-3637007.25,-15909852.68,3724767.68,2040967.58,136452407.3,42810493.58,-6361237.39,-5818969.19,-18061767.19,-18704973.19,-95682881.29,1.686382047,0.984811483,0.086702867,39.80 %,0.823073339,2.067865544,-0.88986202,-4.26 %,-4.21 %,-7.97 %,2.124539402,0.446190639,0.307086149,2.240580825,5.931886421,162.9041881,2.240580825,31.37 %,-13.71 %,-4.66 %,1.035611466,2.839348083,,,
1-Ene-19,207569218.6,15137002.97,442579108.3,219872886.7,222706221.6,72589041.87,69449428.39,79813442.67,5708129.61,29046116.02,86649.72,9229618.96,18604911.03,10596338.33,0,135098892.3,1196215.05,75135.59,89718817.53,115508153.6,378490.02,-9254085.45,17441038.24,20766290.45,11625472.94,54038625.8,34978930.77,103140859.5,184700.82,144793866.6,297785241.7,75298221.96,144574664.8,85521572.28,39371201.48,19878680.29,69495644.68,297406751.7,9229618.96,169731480.2,0,-265226.58,-21267378.47,-42818.6,-2195.25,660325.2,-23985.41,-1225821.44,-4601903.61,0,0,670.09,70311.14,-1183430.99,-2979191.4,51247.17,129527.3,45816873.82,24413796.07,14429681.95,14474695.8,15137002.97,15137002.97,-21532605.05,1.922938721,1.400068453,0.122574195,38.35 %,0.76213174,1.987277702,601.6024721,31.59 %,3.45 %,6.30 %,0.637641574,0.149741054,0.104329495,0.593676811,1.818861083,614.8126273,0.593676811,53.29 %,33.04 %,31.49 %,1,1.049018476,-9.70 %,-41.13 %,-40.56 %
1-Feb-19,207569218.6,8176233.79,426344746.5,210599294.1,215745452.4,74355593.9,69449428.39,52496355.12,5678032.37,23538162.61,0.5,16767305.86,18126202.92,10561049.19,0,134816503,1114956.63,74081.76,89718817.53,113919736.5,375698.79,-3830251.71,17364664.24,23375106.09,11625472.94,46629529.58,34978930.77,103140859.5,237022.78,127078133.3,299266613.2,67689420.39,142909873.7,58174387.49,41501309.01,19707911.4,59388712.92,298890914.4,16767305.86,160786288.9,0,-530453.16,-24097624.62,-87095.62,-4548.98,2335123.83,-73042.77,-2370213.52,-5796223.73,0,0,1114.9,134098.76,-1183430.99,-2979191.4,70871.96,456531.46,42300317.67,18128771.35,5778939.07,5870583.67,8176233.79,8176233.79,-24628077.78,1.877370682,1.264257011,0.247709402,37.71 %,0.745259226,1.976147083,79.1171949,13.88 %,1.98 %,3.59 %,0.733515561,0.137941476,0.102637864,0.627060246,2.29993608,582.081231,0.627060246,42.86 %,19.33 %,13.66 %,1,1.414833015,-18.30 %,-62.55 %,-72.69 %
1-Mar-19,196966739.9,5583646.84,383424685.1,180874298.4,202550386.7,75497793.41,92599237.39,19605897.5,5851446.13,15234959.74,32038.06,14455442.67,13763707.29,10663658.47,0,135613282.5,1142286.88,0,89718817.53,107655777.6,374090.25,-4475470.24,17374078.22,17880549.34,4645345.49,38949085.48,12032123.59,92335378.89,316197.14,82220701.4,301203983.7,51199097.06,129675201.3,25457343.63,31644256.63,10791527.56,31021604.34,300829893.4,14455442.67,146921060.2,2292658.99,-795679.74,-29617325.69,-131329.83,-6902.71,1819589.89,-1640573.52,-3563821.53,-6069858.82,0,6980127.45,9614.06,37588.59,-1183430.99,-2979191.4,285760.5,1101834.15,39044587.44,12026075.15,-1622699.63,-1484467.09,-1396480.61,5583646.84,-30413005.43,1.605901395,0.987838608,0.282337844,38.32 %,0.725355614,1.892984216,-0.989105097,-3.80 %,1.46 %,2.53 %,0.909967902,0.126994464,0.102170312,0.83536645,4.114690317,436.9339945,0.83536645,30.80 %,14.30 %,-4.16 %,-3.998370475,0.860590946,-2.12 %,39.37 %,-133.13 %
1-Abr-19,146855239.9,-1940204.05,316881729.6,171966693.7,144915035.8,75497793.41,69449428.29,7860148.69,5974719.24,11982842.97,8242.62,10407077.17,12878367.29,10475785.92,0,137061313.7,1142286.88,0,39607317.53,107655777.6,374090.25,-5267015.98,17424253.22,16745116.33,4645345.49,34210367.29,12032123.59,65373687.99,164593.67,64341214.64,252540514.9,42241317.45,129725376.3,13834867.93,29623483.62,6724069.61,22099897.19,252166424.7,10407077.17,142030738.5,2292658.99,-1060906.32,-30087989.07,-175311.24,-9256.44,1986963.45,-1980916.95,-5271121.03,-6207392.08,0,6980127.45,10785.49,486424.03,-1183430.99,-2979191.4,369022.6,1272208.84,39784345.09,12200317.53,-3256363.05,-3071795.37,-2753107.03,4227020.42,-31148895.39,1.523182006,0.821890346,0.246371984,44.82 %,0.980096632,2.186672541,-1.643866518,-7.72 %,1.20 %,2.28 %,0.957732043,0.140562451,0.112624607,0.826072674,5.775613385,441.8497446,0.826072674,30.67 %,10.62 %,-8.19 %,-1.535363636,0.845454572,-1.68 %,100.88 %,-194.16 %
1-May-19,146855239.9,1403411.9,340280184.6,192021532.8,148258651.8,77429379.21,69449428.29,7983476.59,5881466.26,13100514.71,18080.81,21760467.69,15409574.05,10454749.78,0,138364407.1,748625.38,0,39607317.53,127513777.9,375883.53,-6113060.37,17277829.37,23013462.9,4645345.49,34608916.91,12032123.59,65373687.99,221502.6,84503197.27,255776987.3,42584580.04,149436952.8,13864942.85,38423036.95,7005535.15,41918617.23,255401103.8,21760467.69,162344197.4,2292658.99,-1326132.9,-30647282.5,-219093.48,-11610.17,34450.18,-2090969.97,-6389957.16,-6317560.35,0,6980127.45,10794.09,423535.33,-1184540.19,-2979191.4,458045.52,1864024.59,40506113.87,12689382.05,-3954525.18,-3723821.53,-5576715.55,1403411.9,-31973415.4,1.984361409,1.082085588,0.510994066,47.71 %,1.095006568,2.295179273,-1.891239586,-9.19 %,0.38 %,0.76 %,0.713371852,0.14216088,0.110221814,0.720716958,6.365629297,506.4401441,0.720716958,31.33 %,3.46 %,-9.76 %,-0.251655636,1.410211162,-0.96 %,-280.86 %,-375.43 %
1-Jun-19,146855239.9,4665461.34,337285202.7,185764501.5,151520701.2,77843895.81,69449428.29,9787644.07,6191837.97,10610262.78,54409.21,13456813.87,16377791.82,10722537.51,0,138461666.9,654617.22,0,39607317.53,124745860.7,380020.46,-6546382.27,17681710.16,24455676.75,4645345.49,33857667.74,12032123.59,65373687.99,61010.53,80992301.99,256292900.7,38691585.21,147072916.3,15979482.04,40833468.57,4118289.72,42300716.78,255912880.3,13456813.87,158664538.9,2292658.99,-1591359.48,-33362622.63,-261826.21,-13963.9,3239773.73,-2097533.46,-7601825.03,-6726575.35,0,6980127.45,10810.68,516883.88,-1184656.54,-2979191.4,940137.59,1994841.36,44509781.66,13843299.9,-3984600.94,-3708810.83,-2314666.11,4665461.34,-34953982.11,2.093279496,1.037921636,0.347796912,47.04 %,1.047147602,2.226000804,-1.899660251,-8.33 %,1.27 %,2.50 %,0.792359107,0.155910537,0.120884532,0.745727108,5.026052223,489.4551858,0.745727108,31.10 %,10.48 %,-8.95 %,-2.015608783,0.580902867,6.14 %,-260.75 %,417.44 %
1-Jul-19,146870300.6,5655599.25,338706824,186180924.1,152525899.9,80108078.21,69449428.29,15481580.5,6789106.93,16055050.97,141387.47,5533747.74,16506090.78,11029409.94,0,137471286.8,675843.8,0,39613453.53,125125027.4,380747.55,-7619113.32,17883666.81,25793322.09,4645345.49,29168978.59,12032123.59,65388748.76,104736.92,81133257.98,257573566,38526884.43,147654039.7,22270687.43,42299412.87,8577325.12,42606373.55,257192818.5,5533747.74,154398742.9,2292658.99,-1856586.06,-41180748.52,-304216.76,-16317.63,2725848.07,-2281390.3,-9075455.57,-8175093.62,0,6980127.45,19164.25,497647.02,-1185758.26,-2979191.4,1053492.87,2092287.45,57049131.27,18396743.13,-2285797.24,-1965262.85,-1324528.2,5655599.25,-43037334.58,2.105886816,1.007967441,0.143633409,45.58 %,1.012278852,2.220651209,-1.001931691,-3.44 %,1.52 %,2.98 %,0.946788669,0.199990601,0.153227202,0.86884952,3.805820766,420.0957605,0.86884952,32.25 %,9.91 %,-4.01 %,-4.269897198,0.579460057,21.20 %,-232.03 %,-7.04 %
1-Ago-19,146870300.6,7870942.82,346466536.2,191725292.7,154741243.5,81539441.93,69449428.29,25323044.23,8104323.66,17501435.57,182368.54,1798068.66,13842916.05,10930952.21,0,137411438.4,665867.09,0,39613453.53,128878778.2,386503.64,-7450500.63,17922361.09,27516393.83,4645345.49,29260277.23,12032123.59,65388748.76,119360.11,87515698.64,258950837.5,40278807.91,151446484.8,33427367.89,41359309.88,10233303.48,47236890.73,258564333.9,1798068.66,158258415.6,2292658.99,-2106493.6,-46867337.31,-345937.95,-18736.28,-1770743.32,-2435783.13,-10340489.86,-10046648.13,0,6980127.45,19178.37,527899.04,-1293181.75,-3208977.16,1101552.92,2161004.61,73222849.93,28702682.62,4550264.41,4914938.64,890815.37,7870942.82,-48973830.91,2.172747983,1.145922413,0.044640563,45.68 %,1.022729377,2.239005765,1.868090945,6.71 %,2.05 %,4.12 %,1.104593518,0.2561434,0.190919548,0.94200265,2.301494014,387.4723708,0.94200265,39.20 %,10.75 %,6.21 %,8.835661221,0.195772221,18.15 %,720.96 %,18.62 %
