item,id,idclieprov,razon_social,iddocumento,documento,fecha,vencimiento,vencimiento_aux,diasemana,semana,glosa,idmoneda,tipo_moneda,semana_anterior,importemof,importemex,idestado,SemanaTexto,Año,NombreMes,SemanaColumna,DocumentoFila,moneda,importe_origen
463,_5ZV0WYR5X8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000266,4/03/2021 00:00,18/04/2021 00:00,18/04/2021 00:00,3,16,SERVICIO LOGISTICO,02,E,0,6630.51,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000266  F.Emision(04/03/2021) & F.Venc.(18/04/2021),US$,
470,_5ZY0VAX208404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000284,8/03/2021 14:36,22/04/2021 14:36,22/04/2021 14:36,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000284  F.Emision(08/03/2021) & F.Venc.(22/04/2021 14:36:17),US$,
477,_5ZY11XHGJ8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000295,8/03/2021 17:41,22/04/2021 17:41,22/04/2021 17:41,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000295  F.Emision(08/03/2021) & F.Venc.(22/04/2021 17:41:48),US$,
479,_5ZZ0R6PXS8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000298,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000298  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
480,_5ZZ0R91D08404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000299,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000299  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
482,_5ZZ0RCY2K8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000301,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000301  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
485,_5ZZ0RI8OO8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000304,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000304  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
487,_5ZZ0RNIQB8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000306,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000306  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
488,_5ZZ0RPDHT8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000307,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000307  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
489,_5ZZ0RQZT58404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000308,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000308  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
490,_5ZZ0RSN6K8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000309,8/03/2021 00:00,22/04/2021 00:00,22/04/2021 00:00,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000309  F.Emision(08/03/2021) & F.Venc.(22/04/2021),US$,
493,_5ZY0VCGM88404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000285,8/03/2021 14:37,22/04/2021 14:37,22/04/2021 14:37,7,16,SERVICIO LOGISTICO,02,E,0,6662.98,1804.22,AP,16,2021,Abril,Sem 16,OSR 0001-0000285  F.Emision(08/03/2021) & F.Venc.(22/04/2021 14:37:29),US$,
